filename,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
Aananda_aug7.wav,[106.13207547],-294.15054,181.29808,3.8736773,25.845343,4.463825,9.279812,-1.7617681,2.8538525,12.063843,-6.510347,-10.801193,-6.009538,3.1574633,0.5052907,0.4112576,0.3201681,0.32014358,0.39880762,0.47448984,0.36452743,0.50449294,0.35452113,0.19132768,0.212545,0.41252935
Aananda_aug8.wav,[102.27272727],-283.7984,184.94771,4.546881,25.866283,4.2900977,9.675566,-1.8977622,4.2024136,10.887362,-8.779826,-11.137753,-4.848905,2.0982394,0.42493305,0.5420586,0.42662948,0.31437352,0.34482464,0.43466932,0.4963046,0.4022209,0.5353926,0.3889365,0.18357913,0.20821868
Aananda_aug9.wav,[102.27272727],-220.43115,119.67346,32.500767,23.89134,5.344571,12.076834,-3.3306134,6.2541137,5.2702746,8.314511,-12.705628,-4.1667833,-3.7007496,0.37990317,0.3483684,0.38252956,0.4640793,0.5177004,0.43449125,0.5460454,0.4029165,0.219551,0.27163285,0.48745492,0.50777465
Aappa_Aamma_aug0.wav,[140.625],-142.8318,112.64676,9.750605,16.91623,11.457724,8.451108,-0.023292124,-1.3969723,-1.2620039,-1.6607679,-5.1252303,-2.1920545,1.3011857,0.32463333,0.36719015,0.3461293,0.35762915,0.43850216,0.35681438,0.3523418,0.36518753,0.43101996,0.5442356,0.4150926,0.3704839
Aappa_Aamma_aug1.wav,[140.625],-187.51164,149.10672,-11.55457,30.128168,3.3400917,14.258687,-4.148668,1.0705564,-3.0434031,-0.3030231,-5.7933164,-2.763059,2.682637,0.26544136,0.30739716,0.28544226,0.2964673,0.37742883,0.29492277,0.29307002,0.3101053,0.3759304,0.48846906,0.3581506,0.31224784
Aappa_Aamma_aug10.wav,[140.625],-187.32318,148.95251,-11.438128,30.027626,3.4216146,14.195003,-4.0934434,1.0341887,-3.0184402,-0.3231743,-5.787723,-2.7627776,2.6762445,0.26547518,0.3074363,0.285441,0.29645702,0.37744963,0.29500127,0.29310644,0.3101115,0.37596193,0.48851937,0.35822687,0.31228462
Aappa_Aamma_aug11.wav,[140.625],-136.616,102.971535,11.443915,15.424831,11.367551,6.614366,-1.0787683,-1.6444149,-1.4205508,-2.7071452,-5.0066066,-0.5939636,-0.13194431,0.3614888,0.30894634,0.35311016,0.3427649,0.33175442,0.42332056,0.34685203,0.31911582,0.35063574,0.39638174,0.5514937,0.4208599
Aappa_Aamma_aug12.wav,[127.84090909],-202.04614,157.75713,-10.716624,28.14946,7.032687,14.368134,3.1631572,-0.18313482,0.18360916,-0.7531956,0.378809,-8.343404,0.63624215,0.29014918,0.363832,0.28912297,0.29315338,0.31838402,0.3803286,0.49844256,0.34455106,0.30192855,0.25847837,0.31200936,0.29628184
Aappa_Aamma_aug13.wav,[140.625],-188.3641,142.66443,-11.651674,29.210827,2.7468653,12.021761,-6.54566,1.591933,-4.246407,-0.7297565,-7.5433016,1.208508,-1.1105716,0.3374842,0.29814163,0.24979194,0.29419905,0.2711361,0.29604754,0.3646767,0.27964538,0.2778901,0.305644,0.38984784,0.48243907
Aappa_Aamma_aug14.wav,[140.625],-184.86778,147.095,-10.615376,29.901144,3.1320148,14.627878,-4.5848193,1.539263,-3.442777,0.0074344594,-6.0547967,-2.5206714,2.4824684,0.32330745,0.365862,0.34467024,0.35629007,0.43759385,0.35561794,0.35084507,0.36416775,0.43060037,0.5435767,0.41426387,0.3693415
Aappa_Aamma_aug15.wav,[140.625],-189.36966,145.12665,-11.951412,29.545868,2.782133,12.999549,-5.8720207,1.5038434,-3.78494,-0.20606282,-6.9035983,0.09289641,0.6427098,0.30490935,0.2574823,0.29630077,0.28212568,0.2757221,0.3621413,0.28070572,0.27313775,0.29716524,0.34842286,0.49160975,0.3467325
